paperId,group,status,ECCV title,arXiv title,arXiv URL,author matches,ECCV author count,title similarity,abstract characters,ECCV authors,arXiv authors
eccv-2026-5542,random,review,Reinforcing Vision-Language Models for Image Quality Assessment with Grounding Process Rewards,ReCode: Reinforcing Code Generation with Reasoning-Process Rewards,https://arxiv.org/abs/2508.05170v3,0,9,0.5409,1594,Jingwei Liu; Hongyan Li; Bo Liu; Tianlin Zhang; Yifei Qian; Congyang Zhao; Junhong Liu; Yang Cai; Ling Yang,Lishui Fan; Yu Zhang; Mouxiang Chen; Zhongxin Liu
eccv-2026-4242,random,clear,RTE-FM-Dehazer: Radiative Transfer Equation Inspired Flow Matching for Real-World Image Dehazing,RTE-FM-Dehazer: Radiative Transfer Equation Inspired Flow Matching for Real-World Image Dehazing,https://arxiv.org/abs/2607.01748v1,6,6,1.0,1586,Chenfeng Wei; Chun Wang; Boyang Zhao; Si Zuo; Shenhong WANG; Chenguang Yang,Chenfeng Wei; Chun Wang; Boyang Zhao; Si Zuo; Shenhong Wang; Chenguang Yang
eccv-2026-3478,random,clear,Em-Garde: A Propose-Match Framework for Proactive Streaming Video Understanding,Em-Garde: A Propose-Match Framework for Proactive Streaming Video Understanding,https://arxiv.org/abs/2603.19054v2,9,9,1.0,876,Yikai Zheng; Xin Ding; Yifan Yang; Shiqi Jiang; Hao Wu; Qianxi Zhang; Weijun Wang; Ting Cao; Yunxin Liu,Yikai Zheng; Xin Ding; Yifan Yang; Shiqi Jiang; Hao Wu; Qianxi Zhang; Weijun Wang; Ting Cao; Yunxin Liu
eccv-2026-5511,random,no_results,SurvMILKD: A Weakly Supervised Survival Analysis Framework for Multi-Teacher Knowledge Distillation using Pathology Foundation Models,,,,4,,0,Mayur Mallya; Ali Khajegili Mirabadi; Hossein Farahani; Ali Bashashati,
eccv-2026-5238,random,clear,P-MTP: Efficient Document Parsing via Multi-Token Prediction with Progressive Depth Scaling,P-MTP: Efficient Document Parsing via Multi-Token Prediction with Progressive Depth Scaling,https://arxiv.org/abs/2606.24447v1,7,8,1.0,1551,Le Xiang; Chenxi Zhai; Shu Wei; Jingjing Wu; Qunyi Xie; Xiao Tan; KunbinChen KunbinChen; Wei He,Le Xiang; Chenxi Zhai; Shu Wei; Jingjing Wu; Qunyi Xie; Xiao Tan; Kunbin Chen; Wei He
eccv-2026-4424,random,clear,Social-Mamba: Socially-Aware Trajectory Forecasting with State-Space Models,Social-Mamba: Socially-Aware Trajectory Forecasting with State-Space Models,https://arxiv.org/abs/2605.15424v1,4,4,1.0,1705,Po-Chien Luan; Wuyang Li; Yang Gao; Alexandre ALahi,Po-Chien Luan; Wuyang Li; Yang Gao; Alexandre Alahi
eccv-2026-5085,random,clear,Long-term Traffic Simulation via Structured Autoregressive Modeling,Long-term Traffic Simulation via Structured Autoregressive Modeling,https://arxiv.org/abs/2606.31209v1,3,3,1.0,1650,Lingyu XIAO; Zexin Feng; Xintao Yan,Lingyu Xiao; Zexin Feng; Xintao Yan
eccv-2026-3567,random,clear,TORA: Topological Representation Alignment for 3D Shape Assembly,TORA: Topological Representation Alignment for 3D Shape Assembly,https://arxiv.org/abs/2604.04050v2,4,4,1.0,1534,Nahyuk Lee; Zhiang Chen; Marc Pollefeys; Sunghwan Hong,Nahyuk Lee; Zhiang Chen; Marc Pollefeys; Sunghwan Hong
eccv-2026-5806,random,clear,Dynamic-Robust Photometric–Semantic Reconstruction for Open-Vocabulary 3D Scene Understanding,Dynamic-Robust Photometric-Semantic Reconstruction for Open-Vocabulary 3D Scene Understanding,https://arxiv.org/abs/2608.29177v1,9,9,1.0,1515,Boyu Cai; Li Yang; Yan Xu; Wei Liu; Nian Liu; Sikui Zhang; Yan Wang; Chunfeng Yuan; Weiming Hu,Boyu Cai; Li Yang; Yan Xu; Wei Liu; Nian Liu; Sikui Zhang; Yan Wang; Chunfeng Yuan; Weiming Hu
eccv-2026-4070,random,clear,RubricRL: Simple Generalizable Rewards for Text-to-Image Generation,RubricRL: Simple Generalizable Rewards for Text-to-Image Generation,https://arxiv.org/abs/2511.20651v4,7,7,1.0,1509,Xuelu Feng; Yunsheng Li; Ziyu Wan; Zixuan Gao; Junsong Yuan; Dongdong Chen; Chunming Qiao,Xuelu Feng; Yunsheng Li; Ziyu Wan; Zixuan Gao; Junsong Yuan; Dongdong Chen; Chunming Qiao
